Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,20.0,1000,1039,951,582,20406.128906,0.028521
2,1000,0.1,0.2,20.0,1000,1051,946,596,20052.449219,0.029722
3,1000,0.1,0.2,20.0,1000,1009,899,567,19423.291016,0.029192
4,1000,0.1,0.2,20.0,1000,1032,927,575,20124.609375,0.028572
5,1000,0.1,0.2,20.0,1000,1030,924,570,20204.757812,0.028211
6,1000,0.1,0.2,20.0,1000,1021,933,567,20013.595703,0.028331
7,1000,0.1,0.2,20.0,1000,1040,930,574,20305.421875,0.028268
8,1000,0.1,0.2,20.0,1000,1026,923,581,19900.009766,0.029196
9,1000,0.1,0.2,20.0,1000,981,888,527,19381.058594,0.027191
10,1000,0.1,0.2,20.0,1000,1014,905,549,20169.675781,0.027219
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,20.0,1000,1039,951,582,20406.128906,0.028521
2,1000,0.1,0.2,20.0,1000,1051,946,596,20052.449219,0.029722
3,1000,0.1,0.2,20.0,1000,1009,899,567,19423.291016,0.029192
4,1000,0.1,0.2,20.0,1000,1032,927,575,20124.609375,0.028572
5,1000,0.1,0.2,20.0,1000,1030,924,570,20204.757812,0.028211
6,1000,0.1,0.2,20.0,1000,1021,933,567,20013.595703,0.028331
7,1000,0.1,0.2,20.0,1000,1040,930,574,20305.421875,0.028268
8,1000,0.1,0.2,20.0,1000,1026,923,581,19900.009766,0.029196
9,1000,0.1,0.2,20.0,1000,981,888,527,19381.058594,0.027191
10,1000,0.1,0.2,20.0,1000,1014,905,549,20169.675781,0.027219
